ID,機構名稱,地址,聯絡電話,類別
CH001,財團法人中國基督教靈糧世界佈道會桃園市府靈糧堂,桃園市桃園區縣府路332-4號5樓,336-5919,教會
CH002,財團法人桃園市基督教新歌教會,桃園市桃園區國華街2號,335-7581,教會
CH003,財團法人天主教麒田教會,桃園市桃園區中山路956巷91弄5號,370-3517,教會
CH004,財團法人臺灣省桃園縣中國基督教靈糧世界佈道會桃園靈糧堂,桃園市桃園區中正路1067號5樓,356-9317,教會
CH005,財團法人新約教會桃園教會,桃園市桃園區大業路二段58號7樓,325-2603,教會
CH006,財團法人桃園基督的教會,桃園市桃園區三民路三段286號5樓,281-0735,教會
CH007,財團法人臺灣省桃園縣福音信義會,桃園市桃園區大豐路222號,364-5900,教會
CH008,財團法人臺灣基督長老教會桃園教會,桃園市桃園區民生路208號6樓,332-4063,教會
CH009,財團法人沙爾德聖保祿修女會,桃園市桃園區建新街123號,361-3141,教會
CH010,財團法人臺灣省桃園縣中華福音道路德會仁愛堂區會,桃園市桃園區縣府路110號13樓,362-5539,教會
CH011,財團法人桃園縣臺灣基督長老教會迦南教會,桃園市桃園區中華路49號,333-9075,教會
CH012,財團法人臺灣省桃園縣桃園市中華基督教浸信會溢恩堂,桃園市桃園市桃園區東國街55號,335-3106,教會
FD001,財團法人桃園縣怡仁愛心基金會,桃園市桃園區三民路3段106號15樓,336-9066,基金會
FD002,財團法人桃園縣私立護國宮愛心基金會,桃園市桃園區國際路1段401巷123號,362-1111,基金會
FD003,財團法人桃園縣私立簡欣哲社會福利基金會,桃園市桃園區復興路180號6樓,336-6512,基金會
FD004,財團法人桃園縣私立景福宮慈善基金會,桃園市桃園區中正路208號,332-4672,基金會
FD005,財團法人桃園縣私立天立社會福利基金會,桃園市桃園區樹仁三街601號,367-7666,基金會
FD006,財團法人桃園縣私立元極康福慈善事業基金會,桃園市桃園區莊敬路一段128號2樓,326-2677,基金會
FD007,財團法人桃園縣忠義社會福利慈善事業基金會,桃園市桃園區大有路80號,333-7748,基金會
FD008,財團法人桃園縣淳?宏善基金會,桃園市桃園區三元街407巷50號,332-8253,基金會
FD009,財團法人桃園縣福島健康慈善基金會,桃園市桃園區泰成路62巷39號2樓,0932-362847,基金會
FD010,財團法人桃園市優勝地社會福利基金會,桃園市桃園區中平路98號3樓之3,2541-8098,基金會
FD011,財團法人腦性麻痺基金會,桃園市桃園區中正路915號6樓之4,0916-577558,基金會
FD012,財團法人桃園市安順社會福利慈善事業基金會 ,桃園市桃園區民有東路1巷3號5樓,2733-7593,基金會
FD013,財團法人桃園市宏願天使希望基金會,桃園市桃園區同安街108號,317-9558,基金會
FD014,財團法人桃園市晉利工程社會福利慈善事業基金會,桃園市桃園區經國路838號10樓之1,326-9266,基金會
FD015,財團法人慈濟桃園分會,桃園市桃園區大業路一段307號,358-6111,基金會
LK001,鎖庫智能家電子鎖體驗館桃園旗艦店,桃園市桃園區春日路455號,347-6369,鎖匠
LK002,關外高手刻印鎖店,桃園市桃園區長春路126號,333-9876,鎖匠
LK003,建成鎖行,桃園市桃園區建國路53號,364-5866,鎖匠
LK004,永吉鎖匙刻印行,桃園市桃園區永安路632號,355-3141,鎖匠
LK005,振聲鎖印行,桃園市桃園區復興路468號,0955-271938,鎖匠
LK006,眾利鎖匙刻印,桃園市桃園區中山路697號,228-8505,鎖匠
LK007,桃鶯刻印鑰匙店,桃園市桃園區桃鶯路202之3號,367-3742,鎖匠
LK008,正安鎖店,桃園市桃園區中山路17號,0935-567985,鎖匠
LK009,金宏刻印鎖店,桃園市桃園區民安路91號,331-3566,鎖匠
LK010,大郡鎖匙刻印,桃園市桃園區莊敬路一段198號,356-9569,鎖匠
LK011,大慶鎖匙刻印店,桃園市桃園區中山路37號,333-8866,鎖匠
LK012,寶慶鎖匙刻印,桃園市桃園區寶慶路398號,301-7133,鎖匠
LK013,順新刻印鎖行,桃園市桃園市寶山街65號,325-5355,鎖匠
LK014,永祥刻印鎖匙行,桃園市桃園區力行路232號,333-8818,鎖匠
LK015,品宏刻印鎖行,桃園市桃園區大同路102號,0987-132116,鎖匠
CV001,大林里里長,桃園市桃園區樹仁三街68號,363-9988,里長
CV002,大樹里里長,桃園市桃園區樹仁二街176號,0919-354002,里長
CV003,大豐里里長,桃園市桃園區樹林四街38巷12號,366-5511,里長
CV004,建國里里長,桃園市桃園區林森路68巷1弄6號,361-0068,里長
CV005,雲林里里長,桃園市桃園區延平路103號,363-2233,里長
CV006,福安里里長,桃園市桃園區建華三街60號,363-7103,里長
CV007,福林里里長,桃園市桃園區陽明一街103號,371-0601,里長
CV008,豐林里里長,桃園市桃園區建國路211號,0928-555535,里長
